t	S1	S2	S3	S4	S5	S6	S7
7.833916958479239412e+00	1.591164338121008992e+00	3.907179308801402295e-01	5.396237004434437795e-02	1.010857100951363108e-01	1.201523348632415888e-01	1.794936101684145857e+00	5.549191204479555356e-02
7.838919459729864592e+00	1.593079872950085907e+00	3.986045390522431897e-01	5.462637629310521103e-02	1.016237670986438468e-01	1.305651526783864480e-01	1.833177658932336085e+00	5.529203514624693450e-02
7.843921960980489771e+00	1.594747197744561307e+00	4.067026885515543921e-01	5.530743470299202130e-02	1.021911045303526139e-01	1.206521845923833464e-01	1.792834939867582467e+00	5.509880062044252708e-02
7.848924462231114951e+00	1.596159388434281290e+00	4.150183120454086216e-01	5.600572561688383494e-02	1.027882106181854244e-01	1.252320590476417306e-01	1.721567620833361012e+00	5.491229667798543101e-02
7.853926963481741019e+00	1.597309205571860291e+00	4.235577376220560630e-01	5.672145500491923564e-02	1.034156137896913297e-01	1.281576455385139979e-01	1.643589554100642447e+00	5.473261361694158056e-02
7.858929464732366199e+00	1.598189102296714070e+00	4.323276782990305156e-01	5.745485425925458273e-02	1.040738812576799677e-01	1.236135967092114180e-01	1.787641815167948511e+00	5.455984372032304103e-02
7.863931965982991379e+00	1.598791171267083921e+00	4.413353065317935364e-01	5.820618315036336227e-02	1.047636246455099229e-01	1.284235619834002973e-01	1.839651852250906217e+00	5.439408178998849513e-02
7.868934467233616559e+00	1.599107142214565958e+00	4.505882586302719095e-01	5.897572968843135116e-02	1.054855004032867749e-01	1.315077069351676675e-01	1.778496838389186818e+00	5.423542512447361574e-02
7.873936968484241739e+00	1.599128323859031253e+00	4.600947175068113015e-01	5.976381325948265655e-02	1.062402158655050693e-01	1.255206418750740849e-01	1.663740208960126310e+00	5.408397404843678230e-02
7.878939469734866918e+00	1.598845582519389241e+00	4.698634441131687156e-01	6.057078639132978948e-02	1.070285308316992895e-01	1.320192172732206348e-01	1.741444287973920479e+00	5.393983205600378500e-02
7.883941970985492098e+00	1.598249308639752009e+00	4.799038263903635526e-01	6.139703623136260474e-02	1.078512610649545733e-01	1.410342096795251798e-01	1.677867290789110122e+00	5.380310607093202746e-02
7.888944472236118166e+00	1.597329361772390710e+00	4.902259598214075975e-01	6.224298735987555953e-02	1.087092837482715596e-01	1.341109678188411869e-01	1.691464909393144866e+00	5.367390686230694846e-02
7.893946973486743346e+00	1.596075016472153330e+00	5.008407277018592785e-01	6.310910483947866634e-02	1.096035425823013443e-01	1.408253811005608092e-01	1.623115824433179588e+00	5.355234940458210302e-02
7.898949474737368526e+00	1.594474923068721184e+00	5.117598596990449167e-01	6.399589643761434410e-02	1.105350512858387091e-01	1.402906079286216356e-01	1.556803255574050304e+00	5.343855313646148075e-02
7.903951975987993706e+00	1.592517025749411896e+00	5.229960542373635057e-01	6.490391724051897127e-02	1.115049009786903966e-01	1.422009808621242377e-01	1.659809196384505636e+00	5.333264249358304204e-02
7.908954477238618885e+00	1.590188493830730687e+00	5.345630830169222358e-01	6.583377304870803581e-02	1.125142665833319816e-01	1.418011457424868116e-01	1.543814489733185136e+00	5.323474729743003786e-02
7.913956978489244065e+00	1.587475630031377483e+00	5.464759300319905755e-01	6.678612577451137344e-02	1.135644148165221579e-01	1.378540352854005779e-01	1.396970004748237848e+00	5.314500328545394142e-02
7.918959479739870133e+00	1.584363789207403173e+00	5.587509163726103179e-01	6.776169803709491957e-02	1.146567111756134211e-01	1.394519009376858631e-01	1.407894991082043523e+00	5.306355253699705093e-02
7.923961980990495313e+00	1.580837249996448035e+00	5.714058981626206624e-01	6.876127953744848309e-02	1.157926313685590791e-01	1.521151336227928863e-01	1.398225013030707231e+00	5.299054413818831549e-02
7.928964482241120493e+00	1.576879087533537671e+00	5.844604644887623213e-01	6.978573399499914121e-02	1.169737721958548915e-01	1.474899719760322525e-01	1.513479374904436847e+00	5.292613478974813462e-02
7.933966983491745673e+00	1.572471020742032266e+00	5.979361765461511657e-01	7.083600743494704310e-02	1.182018642147686233e-01	1.490947883731465196e-01	1.638079396251493014e+00	5.287048950898834421e-02
7.938969484742370852e+00	1.567593245697780135e+00	6.118568304291327475e-01	7.191313684060145206e-02	1.194787856385948061e-01	1.474334598407794628e-01	1.439466140265298177e+00	5.282378235578515102e-02
7.943971985992996032e+00	1.562224186823259586e+00	6.262488518424990103e-01	7.301826329018464012e-02	1.208065827620644350e-01	1.501128436528546828e-01	1.421124872683629858e+00	5.278619746365099952e-02
7.948974487243621212e+00	1.556340280250668284e+00	6.411416433544407933e-01	7.415264369515139897e-02	1.221874871113718813e-01	1.555522108577149787e-01	1.404087150752062696e+00	5.275792986581516464e-02
7.953976988494247280e+00	1.549915655870450992e+00	6.565680967031504167e-01	7.531766647843318729e-02	1.236239410218006596e-01	1.505549160138386633e-01	1.456956705397184582e+00	5.273918667369755647e-02
7.958979489744872460e+00	1.542921776070023121e+00	6.725651793863888228e-01	7.651487011863754295e-02	1.251186257615236608e-01	1.537366231206720169e-01	1.388464858615432451e+00	5.273018832763321645e-02
7.963981990995497640e+00	1.535327005788126975e+00	6.891746380922689763e-01	7.774596483795660762e-02	1.266744942560977527e-01	1.594133700759196581e-01	1.429766175842163811e+00	5.273117000444682567e-02
7.968984492246122819e+00	1.527096038297159897e+00	7.064439451124817637e-01	7.901286094980027042e-02	1.282948142759316457e-01	1.565006786935570771e-01	1.344928612993051553e+00	5.274238338121088610e-02
7.973986993496747999e+00	1.518189261944650204e+00	7.244273503040340456e-01	8.031770044616824700e-02	1.299832146287075718e-01	1.564341654731624676e-01	1.344717466385782600e+00	5.276409844875945554e-02
7.978989494747373179e+00	1.508561914956156880e+00	7.431872953371242430e-01	8.166289690616870822e-02	1.317437462101842260e-01	1.585126328944805874e-01	1.279051678759054678e+00	5.279660579469923343e-02
7.983991995997998359e+00	1.498163047224579270e+00	7.627961641105760471e-01	8.305118478929979231e-02	1.335809545998036807e-01	1.609612756865523298e-01	1.415603941699076884e+00	5.284021921376663711e-02
7.988994497248624427e+00	1.486934168322348926e+00	7.833385801108009305e-01	8.448568192294624024e-02	1.354999722361993619e-01	1.553800618304065351e-01	1.325547670889417162e+00	5.289527886582871818e-02
7.993996998499249607e+00	1.474807515237579025e+00	8.049143721245678451e-01	8.596996886881211331e-02	1.375066329722405001e-01	1.637459389497428197e-01	1.397105604627772335e+00	5.296215501710362095e-02
7.998999499749874786e+00	1.461703813782481154e+00	8.276424375555655466e-01	8.750818744279668937e-02	1.396076160465604954e-01	1.630162205999050318e-01	1.160483717648719271e+00	5.304125249728993546e-02
8.004002001000500854e+00	1.447529253063010835e+00	8.516660036699583713e-01	8.910517152578328881e-02	1.418106337132208072e-01	1.680949495685629957e-01	1.058866995820330059e+00	5.313301623053102302e-02
8.009004502251125146e+00	1.432171366531993284e+00	8.771598469340319282e-01	9.076662057142564910e-02	1.441246771681989058e-01	1.627186473463750893e-01	1.124324632818960445e+00	5.323793808579831838e-02
8.014007003501751214e+00	1.415493399252402362e+00	9.043402449498284534e-01	9.249932887437470330e-02	1.465603394113136337e-01	1.690717039362265584e-01	1.185602188193017437e+00	5.335656534287558372e-02
8.019009504752375506e+00	1.397326280899054307e+00	9.334792712749873100e-01	9.431150091536978641e-02	1.491302548952372353e-01	1.684659598518108148e-01	1.141382684595072972e+00	5.348951153166887906e-02
8.024012006003001574e+00	1.377456890322136918e+00	9.649258624620641323e-01	9.621319622164763163e-02	1.518497102627945350e-01	1.741865126281625376e-01	1.107506762033201309e+00	5.363747050100729774e-02
8.029014507253625865e+00	1.355610555267230177e+00	9.991374907363284041e-01	9.821696295725021453e-02	1.547375054634133051e-01	1.734446509358857080e-01	1.081512406838440743e+00	5.380123484210483364e-02
8.034017008504251933e+00	1.331423591933694972e+00	1.036730268366370167e+00	1.003387854876465618e-01	1.578172219165107359e-01	1.759299558220236148e-01	1.023491577618356407e+00	5.398172094542998123e-02
